,index,Unnamed: 0,Unnamed: 0.1,budget,genres,imdb_id,popularity,release_date,revenue,runtime,vote_average,vote_count,Year,Rated,Runtime,Genre,Country,Ratings,Metascore,imdbRating,imdbVotes
0,0,5,5,60000000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",tt4823776,1114.882,2020-08-14,4700000.0,95.0,8.3,1080.0,2020,PG,91 min,"Animation, Adventure, Comedy, Family","USA, South Korea","[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}]",,6.3,559
1,1,8,8,21000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",tt7846844,898.868,2020-09-23,0.0,123.0,7.5,2508.0,2020,PG-13,123 min,"Adventure, Crime, Drama, Mystery",UK,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68.0,6.6,"86,709"
2,2,11,11,17000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",tt8850222,800.753,2020-07-15,35878266.0,114.0,7.0,735.0,2020,Not Rated,116 min,"Action, Horror, Thriller",South Korea,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51.0,5.5,"12,767"
3,3,12,12,200000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",tt4566758,752.0210000000003,2020-09-04,57000000.0,115.0,7.2,2810.0,2020,PG-13,115 min,"Action, Adventure, Drama, Family, Fantasy","USA, Canada, Hong Kong","[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66.0,5.4,"67,217"
4,4,20,20,2600000.0,"[{'id': 28, 'name': 'Action'}]",tt11769162,531.423,2020-08-28,0.0,106.0,5.5,154.0,2020,TV-MA,106 min,"Action, Drama","South Africa, Angola","[{'Source': 'Internet Movie Database', 'Value': '3.7/10'}]",,3.7,692
5,5,22,22,1200000.0,"[{'id': 28, 'name': 'Action'}]",tt10989808,522.62,2020-09-10,0.0,90.0,5.7,24.0,2020,,90 min,Action,USA,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}]",,4.1,251
6,6,26,26,125000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}, {'id': 28, 'name': 'Action'}]",tt3089630,486.14300000000003,2020-06-12,0.0,95.0,5.8,923.0,2020,PG,95 min,"Adventure, Family, Fantasy, Sci-Fi",USA,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '9%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",31.0,4.2,"20,012"
7,7,27,27,67000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 12, 'name': 'Adventure'}]",tt4682266,480.274,2020-08-26,43724804.0,94.0,6.3,523.0,2020,PG-13,94 min,"Action, Horror, Sci-Fi",USA,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '34%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43.0,5.5,"13,285"
8,8,28,28,30000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",tt2222042,476.381,2020-10-16,0.0,109.0,7.6,314.0,2020,PG-13,,"Adventure, Comedy","Canada, USA",[],,,
9,9,29,29,30000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",tt8461224,464.408,2020-08-07,942666.0,95.0,6.0,171.0,2020,Not Rated,95 min,"Action, Crime, Drama, Thriller",USA,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Metacritic', 'Value': '22/100'}]",22.0,4.7,"6,003"
