,index,Unnamed: 0,Unnamed: 0.1,budget,genres,imdb_id,popularity,release_date,revenue,runtime,vote_average,vote_count,Year,Rated,Runtime,Genre,Country,Ratings,Metascore,imdbRating,imdbVotes
0,0,0,0,0.0,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 36, 'name': 'History'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}]",tt11032374,2300.002,2020-10-16,200000000.0,117.0,6.2,63.0,2020,,,"Animation, Action, Adventure, Fantasy",Japan,[],,,
1,1,5,5,60000000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",tt4823776,1114.882,2020-08-14,4700000.0,95.0,8.3,1080.0,2020,PG,91 min,"Animation, Adventure, Comedy, Family","USA, South Korea","[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}]",,6.3,559
2,2,11,11,17000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",tt8850222,800.753,2020-07-15,35878266.0,114.0,7.0,735.0,2020,Not Rated,116 min,"Action, Horror, Thriller",South Korea,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51.0,5.5,"12,767"
3,3,12,12,200000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",tt4566758,752.0210000000003,2020-09-04,57000000.0,115.0,7.2,2810.0,2020,PG-13,115 min,"Action, Adventure, Drama, Family, Fantasy","USA, Canada, Hong Kong","[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66.0,5.4,"67,217"
4,4,14,14,0.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",tt8784956,671.9169999999998,2020-07-02,2987741.0,96.0,5.7,594.0,2020,R,96 min,"Action, Crime, Drama, Thriller",USA,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39.0,5.3,"14,689"
5,5,19,19,0.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",tt11576124,532.808,2020-08-20,139757.0,106.0,5.8,345.0,2020,R,105 min,Action,"South Africa, UK","[{'Source': 'Internet Movie Database', 'Value': '3.8/10'}]",,3.8,"3,564"
6,6,27,27,67000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 12, 'name': 'Adventure'}]",tt4682266,480.274,2020-08-26,43724804.0,94.0,6.3,523.0,2020,PG-13,94 min,"Action, Horror, Sci-Fi",USA,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '34%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43.0,5.5,"13,285"
7,7,29,29,30000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",tt8461224,464.408,2020-08-07,942666.0,95.0,6.0,171.0,2020,Not Rated,95 min,"Action, Crime, Drama, Thriller",USA,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Metacritic', 'Value': '22/100'}]",22.0,4.7,"6,003"
8,8,40,40,8819200.0,"[{'id': 878, 'name': 'Science Fiction'}]",tt8060328,385.95300000000003,2020-01-01,32104054.0,129.0,7.0,415.0,2020,Not Rated,134 min,"Action, Sci-Fi",Russia,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",,5.6,"2,930"
9,9,43,43,0.0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}, {'id': 10402, 'name': 'Music'}]",tt6587640,365.17199999999997,2020-03-12,1946164.0,91.0,7.6,1270.0,2020,PG,90 min,"Animation, Adventure, Comedy, Family, Fantasy, Musical",USA,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51.0,6.1,"13,815"
10,10,45,45,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 18, 'name': 'Drama'}]",tt4532038,347.334,2020-08-27,8982106.0,94.0,6.0,112.0,2020,PG,94 min,"Comedy, Drama, Family",USA,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34.0,5.5,"6,701"
11,11,46,46,75000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",tt7713068,343.0030000000001,2020-02-05,201858461.0,109.0,7.2,6240.0,2020,R,109 min,"Action, Adventure, Crime",USA,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60.0,6.1,"143,603"
